Playlist,Song,SongID,Artist,Acousticness,Danceability,Duration,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
Biden,BIDEN,1qDvSHqkMJBXARNQd0NLFZ,Dombrance,0.2,0.644,254.748,0.534,0.894,5,0.0879,-8.589,0,0.0303,73.018,4,0.599
Biden,Philadelphia Freedom,2hl9ONQ7YGgZGYx0OSHvIq,Elton John,0.0444,0.712,324.573,0.681,0.000235,0,0.0592,-6.351,0,0.0294,125.497,4,0.809
Biden,(Your Love Keeps Lifting Me) Higher & Higher,5qyq1H5OPMlfuvZQ1wQNo7,Jackie Wilson,0.318,0.634,179.12,0.677,0,2,0.0902,-7.19,1,0.0448,95.792,4,0.939
Biden,We Take Care of Our Own,4KGbQXQ8HKVypeKJslxQtH,Bruce Springsteen,0.000225,0.611,233.947,0.881,0.0864,5,0.252,-6.061,1,0.0405,122.977,4,0.773
Biden,Move on Up,0MHXrqn909p0LRTPsNsGEi,Curtis Mayfield,0.417,0.538,165.79,0.969,0.00154,11,0.119,-5.626,0,0.0906,138.652,4,0.928
Biden,Heroes - 1999 Remaster,5j6ZZwA9BnxZi5Bk0Ng4jB,David Bowie,0.000265,0.478,370.373,0.774,0.585,7,0.191,-6.977,1,0.0292,112.577,4,0.429
Biden,Freedom (feat. Kendrick Lamar),7aBxcRw77817BrkdPChAGY,Beyoncé,0.0376,0.437,289.76,0.803,0,2,0.683,-6.412,1,0.305,84.378,4,0.406
Biden,California Love - Original Version,3djNBlI7xOggg7pnsOLaNm,2Pac,0.0292,0.761,284.48,0.847,2.26e-06,7,0.39,-3.068,1,0.0417,91.519,4,0.765
Biden,Celebration,3K7Q9PHUWPTaknlbFPThn2,Kool & The Gang,0.145,0.885,298.867,0.664,0.0483,1,0.0767,-11.795,1,0.0524,121.632,4,0.906
Biden,my future,2ygvZOXrIeVL4xZmAWJT2C,Billie Eilish,0.795,0.444,208.155,0.309,0.132,8,0.352,-10.956,1,0.062,104.745,4,0.0875
Biden,21st Century,5YdibPcnANMEMZ2NtG840v,La Roux,0.0582,0.869,255.0,0.744,0.00106,8,0.0304,-6.637,1,0.0647,101.985,4,0.831
Biden,Glory (From the Motion Picture Selma),2fmqPLRFdJNPhLU3b2NSFp,Common,0.867,0.567,272.728,0.587,0,9,0.13,-5.626,0,0.0417,83.046,4,0.572
Biden,Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,0.371,0.572,215.733,0.385,0,7,0.231,-6.362,1,0.0308,95.799,4,0.323
Biden,"Lose Yourself - From ""8 Mile"" Soundtrack",7w9bgPAmPTtrkt2v16QWvQ,Eminem,0.00971,0.701,326.467,0.728,0.00115,2,0.361,-4.554,1,0.255,171.388,4,0.0591
Biden,We Are The Champions,4kzvAGJirpZ9ethvKZdJtg,Queen,0.255,0.476,180.667,0.455,0,10,0.101,-7.845,1,0.0298,94.504,3,0.189
Biden,Yoü And I,6rkAY9rk1NTFB94QxG3LJR,Lady Gaga,0.075,0.518,307.347,0.709,0,2,0.0935,-5.234,1,0.0476,127.083,4,0.514
Biden,What's Going On,4RNHbYuRaZesMODlihhsUG,Marvin Gaye,0.307,0.433,236.467,0.733,0.000144,1,0.0827,-9.244,0,0.0491,102.662,4,0.742
Biden,Believe,2goLsvvODILDzeeiT4dAoR,Cher,0.0082,0.652,239.027,0.917,0,6,0.0509,-6.72,1,0.0548,132.975,4,0.459
Biden,Everyday People,4ZVZBc5xvMyV3WzWktn8i7,Sly & The Family Stone,0.307,0.807,141.507,0.497,0.0327,7,0.043,-10.656,1,0.0297,114.524,4,0.765
Biden,Rollercoaster,5L95vS64rG1YMIFm1hLjyZ,Bleachers,0.00205,0.421,188.867,0.79,0.000309,10,0.148,-6.227,1,0.0538,162.024,4,0.279
Biden,All We Ever Knew,72zmwnbXjx9fMUjw3mbDSs,The Head And The Heart,0.00224,0.487,225.56,0.724,1.03e-05,0,0.213,-5.905,1,0.0289,102.03,4,0.546
Biden,The Sound,316r1KLN0bcmpr7TZcMCXT,The 1975,0.0875,0.646,248.88,0.938,6.52e-06,0,0.447,-4.735,1,0.0754,120.708,4,0.545
Biden,The Edge Of Glory,0JNdS1n0ifOP25XvhwAMgM,Lady Gaga,0.000343,0.581,320.587,0.772,0.0191,9,0.11,-6.544,1,0.0401,127.952,4,0.361
Biden,Two High,5huOzlgCK7PsMSG4TFBvKY,Moon Taxi,0.0505,0.68,213.12,0.735,0.00132,11,0.109,-5.553,0,0.0482,106.994,4,0.523
Biden,Lovely Day,0bRXwKfigvpKZUurwqAlEh,Bill Withers,0.292,0.692,254.56,0.651,0.00241,9,0.105,-8.267,1,0.0324,97.923,4,0.706
Biden,Freedom (feat. Kendrick Lamar),6pXcDMr10gh902gPlKuSLv,Beyoncé,0.0375,0.458,289.76,0.804,0,2,0.685,-6.421,1,0.294,84.733,4,0.408
Biden,Keep Going,6QvAqvSvkfHLzeIilXQ9H7,The Revivalists,0.0334,0.621,254.853,0.819,4.45e-05,5,0.106,-5.42,1,0.0436,96.055,4,0.599
Biden,Home,6q5nAr2JniAHj1gKheejE0,Dierks Bentley,0.463,0.61,238.413,0.69,0.0409,11,0.0842,-7.157,1,0.0378,118.038,4,0.462
Biden,The Weight,2VdHRWJeGpIY0WJcQD2mYd,Aretha Franklin,0.27,0.518,171.533,0.709,6.57e-06,3,0.0985,-8.395,1,0.178,173.093,4,0.782
Biden,I'm Coming Out,3SnGymj6ijE2iuUfWxLo1q,Diana Ross,0.185,0.72,323.347,0.828,0.429,5,0.0839,-9.211,1,0.0462,110.071,4,0.768
Biden,Could It Be I'm Falling in Love,5i0urffBRKl09GSX2Jhdeh,The Spinners,0.729,0.382,249.733,0.727,0,9,0.196,-6.677,0,0.0861,207.265,4,0.826
Biden,Good Times,4UcxTnA6C5vCW79PIZ38Vx,Sam Cooke,0.691,0.663,146.493,0.638,0,2,0.302,-8.765,1,0.0592,119.476,4,0.869
Biden,All I Do,0k3fBeBIcok5gbYQyQbxP5,Stevie Wonder,0.0842,0.849,306.667,0.5,0,11,0.107,-16.705,1,0.0915,117.217,4,0.88
Biden,Learn To Live,1Y4KIufSd5bBBIgXbPs82T,Darius Rucker,0.0431,0.598,228.08,0.894,0,7,0.128,-5.191,1,0.0358,105.068,4,0.621
Biden,Don't You Worry 'Bout A Thing,1QvWxgZvTU0w8rlPRE5Zrv,Stevie Wonder,0.0316,0.714,284.84,0.726,0,11,0.066,-9.218,1,0.0408,124.71,4,0.92
Biden,Reach Out I'll Be There,6Pkj4nv5K53i64cLVgkVyY,Four Tops,0.0253,0.607,178.533,0.599,0,3,0.188,-8.908,0,0.0282,119.842,4,0.735
Biden,Jet - Remastered 2010,4D40ZlFAWsvX7lua1Kablh,Wings,0.0179,0.504,248.36,0.739,0.08,9,0.0949,-7.265,1,0.0316,128.918,4,0.417
